"polaridad","id_tuit","fecha","consulta","usuario","texto"
"0","120151009097021","2015-10-09 20:00","#PerdimosComoSiempre","@efatatv","la llorona http:// ow.ly/TdYHX #perdimoscomosiempre #NuncaFaltaUnAmigoQue #Perfect #BuenViernes #MaduroTuPuebloTeApoya #Lima #Peru"
"0","120151009097025","2015-10-09 16:00","#PerdimosComoSiempre","@efatatv","Nunca podrán http:// ow.ly/TdZq4 #perdimoscomosiempre #NuncaFaltaUnAmigoQue #Perfect #BuenViernes #MaduroTuPuebloTeApoya #Lima #Peru"
"1","120151009097026","2015-10-09 15:53","#PerdimosComoSiempre","@mapiabsi","Jugamos como nunca y #PerdimosComoSiempre ..... Pero igual hasta las finales con ustedes....los veremos en #Rusia2018 ... Recién empezamos"
"1","120151009097033","2015-10-09 10:59","#PerdimosComoSiempre","@pierlicious","#PerdimosComoSiempre asi es el deporte pero aun seguimos alentando pic.twitter.com/CvVWcKSQeP"
"1","120151009097034","2015-10-09 10:20","#PerdimosComoSiempre","@Wenlizita","#PerdimosComoSiempre eso es historia repetida, pero nunca perderemos la FE"
"1","120151009097035","2015-10-09 10:16","#PerdimosComoSiempre","@Wilmerik","Jugamos con rebeldía, garra, inteligencia... pero #PerdimosComoSiempre"
"0","120151009097036","2015-10-09 10:13","#PerdimosComoSiempre","@Puella3Aeterna","Yo, ante cada partido de Peru frente a cualquier otro equipo y la familia me dicen mala onda: #PerdimosComoSiempre pic.twitter.com/hhGPKBoGfj"
"0","120151009097042","2015-10-09 09:16","#PerdimosComoSiempre","@juber25","#PerdimosComoSiempre pero al menos metimos miedo"
"0","120151009097043","2015-10-09 09:09","#PerdimosComoSiempre","@Eduardocl17","#PerdimosComoSiempre @galdosoficial Ahora a esperar el clásico del pacífico"" Al menos perderemos la esperanza. Grau perdió un barquito."""
"0","120151009097049","2015-10-09 08:42","#PerdimosComoSiempre","@blanquiroja","#PerdimosComoSiempre Lo de siempre: creemos pero la realidad nos mata los sueños. El fútbol duele."
"0","120151009097050","2015-10-09 08:41","#PerdimosComoSiempre","@joserenatoEO","#PerdimosComoSiempre quienes ganan:los dirigentes el cuerpo técnico y Yahaira. ....lo verdaderos hinchas somos los q perdemos! !!"
"0","120151009097053","2015-10-09 08:33","#PerdimosComoSiempre","@ErikaNeyra97","Jugamos como nunca, #PerdimosComoSiempre"
"0","120151009097054","2015-10-09 08:31","#PerdimosComoSiempre","@JorjaR","#PerdimosComoSiempre como dice tilsa ILUSOS pero = sigan comprando sus entradas seguro q a Chile le ganamos y por cierto están baratisimas"
"0","120151009097055","2015-10-09 08:30","#PerdimosComoSiempre","@Gianks_94","#PerdimosComoSiempre jugamos como nuncaa"
"0","120151009097056","2015-10-09 08:28","#PerdimosComoSiempre","@alexanderhp72","#PerdimosComoSiempre todo el tiempo lo mismo, puras ilusiones..."
"1","120151009097057","2015-10-09 08:28","#PerdimosComoSiempre","@JJeyvy","#PerdimosComoSiempre no debemos rendir vamos Perú pic.twitter.com/yUnKjnQrTO"
"0","120151009097058","2015-10-09 08:23","#PerdimosComoSiempre","@Peruano_Mordaz","#PerdimosComoSiempre Pero no nos preocupemos; es solo una cortina de humo!"
"0","120151009097059","2015-10-09 08:22","#PerdimosComoSiempre","@cafesinazucar23","#PerdimosComoSiempre la misma huevada de siempre"
"0","120151009097060","2015-10-09 08:22","#PerdimosComoSiempre","@jackelinelizzet","#PerdimosComoSiempre y siempre perderán ..."
"0","120151009097062","2015-10-09 08:10","#PerdimosComoSiempre","@MaraAlien","#PerdimosComoSiempre Ya no nos sorprende y no necesitamos una bola de cristal para saber que va a pasar."
"0","120151009097063","2015-10-09 08:04","#PerdimosComoSiempre","@chaoshasstarted","#PerdimosComoSiempre y tus amigos se fueron con una perra que habla mal de ti. Te va igual de mal como a la selección de fútbol."
"1","120151009097064","2015-10-09 08:03","#PerdimosComoSiempre","@daliasilvao","Muchos están en las buenas y pocos en las malas... Te amo Perú! #PerdimosComoSiempre &lt;--"
"0","120151009097066","2015-10-09 07:49","#PerdimosComoSiempre","@manuelrkardo","lo positivo es que argentina, venezuela y bolivis tambien perdieron haha ;) #PerdimosComoSiempre"
"0","120151009097067","2015-10-09 07:46","#PerdimosComoSiempre","@SadPastelow","@Studio92 @galdosoficial #PerdimosComoSiempre Y @ChinoyAdolfo no vieron el partido como kabala ajaaj Ylos pastrulos son los jugadores?ajaj"
"0","120151009097068","2015-10-09 07:40","#PerdimosComoSiempre","@HenrryRivera16","#PerdimosComoSiempre Perdieron esos 11 tipos q patean una pelota, que perdio el Perú? Que perdimos los peruanos, NADA."
